fighter_1,fighter_2,winner
Alexander Volkanovski,Ilia Topuria,Ilia Topuria
Robert Whittaker,Paulo Costa,Robert Whittaker
Geoff Neal,Ian Machado Garry,Ian Machado Garry
Merab Dvalishvili,Henry Cejudo,Merab Dvalishvili
Anthony Hernandez,Roman Kopylov,Anthony Hernandez
Amanda Lemos,Mackenzie Dern,Amanda Lemos
Marcos Rogerio de Lima,Junior Tafa,Marcos Rogerio de Lima
Rinya Nakamura,Carlos Vera,Rinya Nakamura
Zhang Mingyang,Brendson Ribeiro,Zhang Mingyang
Josh Quinlan,Danny Barlow,Danny Barlow
Oban Elliott,Val Woodburn,Oban Elliott
Andrea Lee,Miranda Maverick,Miranda Maverick
