website_name,organisation,event,date,fighter_1_name,fighter_1_odds,fighter_2_name,fighter_2_odds,odds_format
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Mitch Raposo,3.1,Andre Lima,1.364,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Ailin Perez,1.533,Joselyne Edwards,2.5,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Mickey Gall,3.6,Bassil Hafez,1.286,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Phil Rowe,2.3,Jake Matthews,1.615,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Grant Dawson,1.2,Joseph Solecki,4.5,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Jailton Almeida,1.333,Alexander Romanov,3.1,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Cesar Almeida,1.8,Roman Kopylov,2.0,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Randy Brown,1.571,Elizeu Zaleski Dos Santos,2.375,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Niko Price,3.1,Alex Morono,1.364,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Kevin Holland,1.364,Michal Oleksiejczuk,3.1,decimal
BetVictor,UFC,UFC 302,Sat Jun 1 2024,Sean Strickland,1.4,Paulo Henrique Costa,2.9,decimal
BetVictor,UFC,UFC 302,Sun Jun 2 2024,Islam Makhachev,1.2,Dustin Poirier,4.5,decimal
